Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
KO,Coca-Cola Company,2023-10-24,2023-09-30,0.7,USD
KVUE,Kenvue Inc,2023-10-26,2023-09-30,0.32,USD
L,Loews Corp,2023-10-30,2023-09-30,,USD
LEN,Lennar Corp - Class A,2023-12-12,2023-11-30,4.6,USD
LH,Laboratory Corp Of America Holdings,2023-10-26,2023-09-30,3.33,USD
LHX,L3Harris Technologies Inc,2023-10-26,2023-09-30,3.06,USD
LIN,Linde Plc.,2023-10-26,2023-09-30,3.58,USD
LKQ,LKQ Corp,2023-10-26,2023-09-30,0.98,USD
LLY,Lilly(Eli) & Company,2023-11-02,2023-09-30,2.89,USD
LMT,Lockheed Martin Corp,2023-10-17,2023-09-30,6.65,USD
LNT,Alliant Energy Corp,2023-11-06,2023-09-30,0.91,USD
LOW,Lowe`s Cos. Inc,2023-11-21,2023-10-31,3.11,USD
LRCX,Lam Research Corp,2023-10-18,2023-09-30,6.12,USD
LUV,Southwest Airlines Company,2023-10-26,2023-09-30,0.41,USD
LVS,Las Vegas Sands Corp,2023-10-17,2023-09-30,0.55,USD
LW,Lamb Weston Holdings Inc,2024-01-03,2023-11-30,1.42,USD
LYB,LyondellBasell Industries NV - Class A,2023-10-26,2023-09-30,1.94,USD
LYV,Live Nation Entertainment Inc,2023-11-01,2023-09-30,1.27,USD
MA,Mastercard Incorporated - Class A,2023-10-25,2023-09-30,3.21,USD
MAA,Mid-America Apartment Communities Inc,2023-10-25,2023-09-30,1.12,USD
MAR,Marriott International Inc - Class A,2023-11-01,2023-09-30,2.09,USD
MAS,Masco Corp,2023-10-26,2023-09-30,0.9,USD
MCD,McDonald`s Corp,2023-10-30,2023-09-30,3,USD
MCHP,Microchip Technology Inc,2023-11-01,2023-09-30,1.61,USD
MCK,Mckesson Corporation,2023-11-01,2023-09-30,6.13,USD
MCO,Moody`s Corp,2023-10-23,2023-09-30,2.34,USD
MDLZ,Mondelez International Inc - Class A,2023-10-30,2023-09-30,0.78,USD
MDT,Medtronic Plc,2023-11-21,2023-10-31,1.18,USD
MET,Metlife Inc,2023-11-01,2023-09-30,2.07,USD
META,Meta Platforms Inc - Class A,2023-10-25,2023-09-30,3.6,USD
MGM,MGM Resorts International,2023-10-31,2023-09-30,0.67,USD
MHK,Mohawk Industries Inc,2023-10-25,2023-09-30,2.68,USD
MKTX,MarketAxess Holdings Inc,2023-10-17,2023-09-30,1.61,USD
MLM,Martin Marietta Materials Inc,2023-10-31,2023-09-30,6.05,USD
MMC,Marsh & McLennan Cos. Inc,2023-10-19,2023-09-30,1.39,USD
MMM,3M Company,2023-10-23,2023-09-30,2.35,USD
MNST,Monster Beverage Corp,2023-11-01,2023-09-30,0.39,USD
MO,Altria Group Inc,2023-10-26,2023-09-30,1.29,USD
MOH,Molina Healthcare Inc,2023-10-25,2023-09-30,4.87,USD
MOS,Mosaic Company,2023-11-06,2023-09-30,0.76,USD
MPC,Marathon Petroleum Corp,2023-10-31,2023-09-30,7.6,USD
MPWR,Monolithic Power System Inc,2023-10-25,2023-09-30,3.07,USD
MRK,Merck & Co Inc,2023-10-26,2023-09-30,1.95,USD
MRNA,Moderna Inc,2023-11-01,2023-09-30,-1.58,USD
MRO,Marathon Oil Corporation,2023-11-01,2023-09-30,0.65,USD
MS,Morgan Stanley,2023-10-18,2023-09-30,1.39,USD
MSCI,MSCI Inc,2023-10-31,2023-09-30,3.32,USD
MSFT,Microsoft Corporation,2023-10-23,2023-09-30,2.65,USD
MSI,Motorola Solutions Inc,2023-11-01,2023-09-30,3.02,USD
MTB,M & T Bank Corp,2023-10-18,2023-09-30,3.83,USD
MTCH,Match Group Inc - New,2023-10-30,2023-09-30,0.54,USD
MTD,Mettler-Toledo International Inc,2023-11-01,2023-09-30,9.77,USD
MU,Micron Technology Inc,2023-12-19,2023-11-30,-1.02,USD
NCLH,Norwegian Cruise Line Holdings Ltd,2023-11-06,2023-09-30,0.7,USD
NDAQ,Nasdaq Inc - 144A,2023-10-18,2023-09-30,0.68,USD
NDSN,Nordson Corp,2023-12-12,2023-10-31,2.39,USD
NEE,NextEra Energy Inc,2023-10-26,2023-09-30,0.85,USD
NEM,Newmont Corp,2023-10-26,2023-09-30,0.73,USD
NFLX,Netflix Inc,2023-10-18,2023-09-30,3.49,USD
NI,NiSource Inc,2023-11-06,2023-09-30,0.13,USD
NKE,Nike Inc - Class B,2023-12-18,2023-11-30,0.83,USD
NOC,Northrop Grumman Corp,2023-10-26,2023-09-30,5.78,USD
